Year,Monthly_CPI_Adjusted_Income
1984,14401.739541225536
1985,14170.814048946719
1986,14428.862956204379
1987,14095.149735915495
1988,13636.03695407157
1989,13230.37380376344
1990,12400.617610303496
1991,11551.233431228584
1992,11121.36962461392
1993,10745.402133794692
1994,10588.49730094467
1995,10624.916087051617
1996,10472.310611854684
1997,10449.41178608515
1998,10666.127781186095
1999,10700.844047619046
2000,10324.832578397212
2001,9874.283239224544
2002,9641.557170650362
2003,9432.238088768116
2004,9174.127183695076
2005,9011.305521420038
2006,8826.68492063492
2007,8720.628004295639
2008,8111.592948851926
2009,8088.47839766567
2010,7770.467395225692
2011,7422.070168653131
2012,7270.482344195986
2013,7435.839532617608
2014,7224.89986032261
2015,7606.290547372834
2016,7778.138082083718
2017,7749.5228935487385
2018,7663.852653782383
2019,8065.770876604201
2020,7805.596593653285
2021,7427.230726648705
2022,6727.658015980135
2023,6717.5
