Year,Rent_Monthly_Percent,Mortgage_Monthly_Percent
1990,8.651430228134446,16.101206329312237
2000,10.621347446910876,16.9840616966581
2010,15.828881244021453,16.925880413607068
2015,16.686509090710747,18.965070422535206
2016,16.484232826023298,18.54205658324265
2017,16.711910021700422,20.088490843470122
2018,17.245627115977406,21.368518274178655
2019,16.68792533715083,18.35862578500185
2020,16.940850389807462,17.516138763197585
2021,20.26256939611903,19.93504920514762
2023,20.643527279523664,33.794566430963904
