Year,Rent_Percentage,Mortgage_Percentage
1990,20.169151441262603,37.53687659490511
2000,18.794110393546095,30.052715256069195
2010,22.11859234699263,23.651491423244035
2015,21.451679385688568,24.380930008764448
2016,20.927634237980357,23.54015393312363
2017,20.774120461129904,24.971456172434046
2018,20.926445991121497,25.92930605351019
2019,19.889321341017585,21.880527401720403
2020,19.944712533374215,20.62200800361589
2021,22.784977747116873,22.416685843107683
2023,20.643527279523667,33.794566430963904
