Year,Sale_Price_as_Percent_of_Median_Income
1984,389.1616797273547
1985,390.4634242220703
1986,392.82472844558833
1987,416.41436112711796
1988,445.968711209845
1989,448.78247150396174
1990,452.52875339178604
1991,433.27939298623824
1992,422.34139676283587
1993,431.0434096201128
1994,432.4958837222506
1995,407.58413705421833
1996,411.1511682410291
1997,416.76903884294205
1998,415.5296565331106
1999,410.02096437492526
2000,417.72734420329886
2001,424.19382928925165
2002,467.8770643818859
2003,450.6422505645496
2004,502.6991849865328
2005,523.3595097251134
2006,534.2157531415344
2007,531.1969567409304
2008,481.2749681174856
2009,433.10763696199723
2010,466.7627687328765
2011,467.4651975355144
2012,481.27280478563534
2013,495.42775629376166
2014,525.8445179059116
2015,523.6435373061432
2016,517.6992389408591
2017,520.2594407573163
2018,531.2280026523094
2019,459.3592261298169
2020,486.8483444980444
2021,503.64946687218054
2022,555.2250778250495
2023,532.1920357275771
